participant_id,fsm_type,task,test_order,trial_type,max_beta
64,easy,prediction,CPE,hidden,0.040000000000000924
64,easy,prediction,CPE,hidden_an,-1.0
65,easy,control,CPE,visible,0.28500000000000103
65,easy,control,CPE,hidden,0.37500000000000133
65,easy,control,CPE,hidden_an,0.30500000000000105
65,easy,explanation,CPE,visible,0.09000000000000097
65,easy,explanation,CPE,hidden,1.0000000000000018
65,easy,explanation,CPE,hidden_an,1.0000000000000018
65,easy,prediction,CPE,visible,0.28500000000000103
65,easy,prediction,CPE,hidden,0.09000000000000097
65,easy,prediction,CPE,hidden_an,-0.014999999999999125
66,easy,control,EPC,visible,0.28500000000000103
66,easy,control,EPC,hidden,-0.0949999999999992
66,easy,control,EPC,hidden_an,-0.024999999999999134
66,easy,explanation,EPC,visible,-0.07999999999999918
66,easy,explanation,EPC,hidden,-0.06499999999999917
66,easy,explanation,EPC,hidden_an,0.020000000000000906
66,easy,prediction,EPC,visible,1.0000000000000018
66,easy,prediction,EPC,hidden,0.3350000000000013
66,easy,prediction,EPC,hidden_an,-0.00999999999999912
69,easy,control,CEP,visible,1.0000000000000018
69,easy,control,CEP,hidden,0.3200000000000012
69,easy,control,CEP,hidden_an,0.265000000000001
69,easy,explanation,CEP,visible,-0.38499999999999945
69,easy,explanation,CEP,hidden,0.3800000000000012
69,easy,explanation,CEP,hidden_an,0.21000000000000107
69,easy,prediction,CEP,visible,0.3700000000000012
69,easy,prediction,CEP,hidden,0.10500000000000087
69,easy,prediction,CEP,hidden_an,0.2500000000000011
68,easy,control,ECP,visible,0.06000000000000094
68,easy,control,ECP,hidden,-0.15499999999999925
68,easy,control,ECP,hidden_an,0.03500000000000103
68,easy,explanation,ECP,visible,-0.38999999999999946
68,easy,explanation,ECP,hidden,-0.0999999999999992
68,easy,explanation,ECP,hidden_an,-0.2249999999999993
68,easy,prediction,ECP,visible,0.28500000000000103
68,easy,prediction,ECP,hidden,-0.1049999999999992
68,easy,prediction,ECP,hidden_an,-0.02999999999999914
70,easy,control,ECP,visible,0.49500000000000144
70,easy,control,ECP,hidden,0.41500000000000137
70,easy,control,ECP,hidden_an,-0.08999999999999919
70,easy,explanation,ECP,visible,0.16500000000000092
70,easy,explanation,ECP,hidden,0.3150000000000013
70,easy,explanation,ECP,hidden_an,0.29000000000000115
70,easy,prediction,ECP,visible,1.0000000000000018
70,easy,prediction,ECP,hidden,0.130000000000001
70,easy,prediction,ECP,hidden_an,
71,easy,control,CPE,visible,1.0000000000000018
71,easy,control,CPE,hidden,0.40000000000000124
71,easy,control,CPE,hidden_an,1.0000000000000018
71,easy,explanation,CPE,visible,0.4350000000000014
71,easy,explanation,CPE,hidden,0.4500000000000013
71,easy,explanation,CPE,hidden_an,1.0000000000000018
71,easy,prediction,CPE,visible,1.0000000000000018
71,easy,prediction,CPE,hidden,-0.01999999999999913
71,easy,prediction,CPE,hidden_an,-0.6499999999999997
74,easy,control,CEP,visible,0.28500000000000103
74,easy,control,CEP,hidden,0.005000000000000782
74,easy,control,CEP,hidden_an,0.10000000000000098
74,easy,explanation,CEP,visible,-0.07999999999999918
74,easy,explanation,CEP,hidden,0.41500000000000137
74,easy,explanation,CEP,hidden_an,1.0000000000000018
74,easy,prediction,CEP,visible,0.29000000000000115
74,easy,prediction,CEP,hidden,0.28500000000000103
74,easy,prediction,CEP,hidden_an,0.05000000000000093
72,easy,control,CEP,visible,0.5900000000000014
72,easy,control,CEP,hidden,0.05500000000000105
72,easy,control,CEP,hidden_an,8.881784197001252e-16
72,easy,explanation,CEP,visible,0.2300000000000011
72,easy,explanation,CEP,hidden,0.3300000000000012
72,easy,explanation,CEP,hidden_an,0.42000000000000126
72,easy,prediction,CEP,visible,0.3550000000000013
72,easy,prediction,CEP,hidden,-0.6849999999999997
72,easy,prediction,CEP,hidden_an,-0.4649999999999995
73,easy,control,CEP,visible,0.5000000000000013
73,easy,control,CEP,hidden,0.7500000000000016
73,easy,control,CEP,hidden_an,0.10000000000000098
