participant_id,task,condition,predicted_accuracy,fsm_number,fsm_type,mm_accuracy,count_nan,learning_condition
52,explanation,visible,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
52,explanation,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
52,explanation,hidden_an,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
52,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
52,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
53,explanation,visible,0.5299640517645717,22.0,hard,0.5,0.0,Experiment 1 (no preview)
53,explanation,hidden,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
53,explanation,hidden_an,0.5,22.0,hard,0.7,0.0,Experiment 1 (no preview)
53,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
53,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
54,explanation,visible,0.5,22.0,hard,0.5,0.0,Experiment 1 (no preview)
54,explanation,hidden,0.5,22.0,hard,0.3,0.0,Experiment 1 (no preview)
54,explanation,hidden_an,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
54,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
54,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
55,explanation,visible,0.9404756340234984,22.0,hard,0.7,0.0,Experiment 1 (no preview)
55,explanation,hidden,0.5,22.0,hard,0.3,0.0,Experiment 1 (no preview)
55,explanation,hidden_an,0.5,22.0,hard,0.1,0.0,Experiment 1 (no preview)
55,explanation,hidden_normative_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
55,explanation,hidden_an_subset,0.5,22.0,hard,,,Experiment 1 (no preview)
56,explanation,visible,0.9308615796566532,22.0,hard,0.8,0.0,Experiment 1 (no preview)
56,explanation,hidden,0.6271477663131956,22.0,hard,0.6,0.0,Experiment 1 (no preview)
56,explanation,hidden_an,0.5,22.0,hard,0.4,0.0,Experiment 1 (no preview)
56,explanation,hidden_normative_subset,0.6984652160025387,22.0,hard,,,Experiment 1 (no preview)
56,explanation,hidden_an_subset,0.5399148845555657,22.0,hard,,,Experiment 1 (no preview)
57,explanation,visible,0.617747874769249,22.0,hard,0.6,0.0,Experiment 1 (no preview)
57,explanation,hidden,0.5399148845555657,22.0,hard,0.5,0.0,Experiment 1 (no preview)
57,explanation,hidden_an,0.6364525402815663,22.0,hard,0.6,0.0,Experiment 1 (no preview)
